Country,Year,BN.CAB.XOKA.GD.ZS,BX.KLT.DINV.WD.GD.ZS,CM.MKT.LCAP.GD.ZS,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.ZG,FP.CPI.TOTL,FP.CPI.TOTL.ZG,FS.AST.DOMS.GD.ZS,FS.AST.PRVT.GD.ZS,GC.DOD.TOTL.GD.ZS,NE.CON.GOVT.KD.ZG,NE.CON.GOVT.ZS,NE.CON.TOTL.KD.ZG,NE.CON.TOTL.ZS,NE.EXP.GNFS.KD.ZG,NE.EXP.GNFS.ZS,NE.GDI.TOTL.KD.ZG,NE.GDI.TOTL.ZS,NE.IMP.GNFS.KD.ZG,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS,PX.REX.REER,SI.POV.NAGP,SL.UEM.TOTL.ZS
ABW,1995,-0.0211537241131299,-0.41884373743997605,,53.36272290736779,5.226239568586,62.49534834434879,3.3613910732089503,39.4277071478434,43.0682207602649,,,19.9691155627948,,70.4419012967233,,84.9110485901043,,31.138281894527502,,86.4764241744759,2.54714266234267,16439.3563609282,-2.0795049773208203,28648.990020281602,30.9457830050981,,,
ABW,1996,-5.0078335958026505,6.12113532486145,,52.671559796448,3.15133179207616,64.511003297646,3.22528797213981,43.411804237024,45.413723164367894,,,20.1608822207738,,73.59936521559591,,86.6351163703935,,28.4600405646666,,88.69978503155701,1.18578998761679,16586.068435754198,-2.3119303489744,28499.0894346302,24.8460607336456,,,
ABW,1997,-12.7818013405393,12.7890948077807,,49.62398529637,4.59034814796596,66.4462999139352,2.9999480977841197,42.3315391403919,43.23093305326421,,,23.5943665259028,,73.4452151208163,,82.5255818363492,,30.2314217155694,,86.245250129459,7.046872206574339,17927.749635208602,4.2269811656620195,30215.9492264355,24.319337169697103,,,
ABW,1998,-1.1273162826745602,5.019241544289099,,51.628166802548506,13.081771544093499,67.6885058735256,1.8694885361554,41.174522652011596,41.8767132020144,,,21.9759572961856,,72.3025770584426,,79.65026354373221,,31.705770450221895,,83.6428420448712,1.99198836186616,19078.3431907515,-0.141877040803124,30512.683909289302,27.073372856505397,,,
ABW,1999,-25.279443286065,26.8758451396163,,55.0970714797604,10.416995658285401,69.2320555968976,2.2803719825875297,44.55433376245621,44.623274455949,,,21.856080627535402,,73.8048063920929,,79.93358864521491,,30.8709032009106,,84.6355644478745,1.23803928308813,19356.2033894901,-0.72746076613582,30728.0544998494,20.645240789802198,,,
ABW,2000,11.0568722640362,-6.828727172966549,,51.834542027982906,2.3054707552105898,72.0318146799062,4.04402131190516,44.1022758447941,44.79970060951611,,,21.410594367642,,70.7921323520641,,74.40032443909008,,25.495902763696197,,70.6728532748071,7.6165897041888,20620.7006259175,5.427609067629289,33120.0541794756,23.7302742225986,,,
ABW,2001,16.0803025894676,-13.9016584230434,,53.552516729706106,5.887435776330481,74.108927187662,2.8836043031626,44.825574629037,46.0188536514402,,,24.5272039569392,,74.33808553971491,,70.4975269130055,,23.712540005819,,68.5481524585394,-2.97125698742023,20669.0319688645,-5.10718864860483,32117.9123240376,19.327902240325898,,,
ABW,2002,-17.526618705036,17.1280575539568,,58.5208633093525,10.4857111811366,76.5660595573112,3.31556866749282,49.0974676258993,51.327625899280605,,,25.1510791366906,,77.5539568345324,,64.9208633093525,,26.9064748201439,,69.3812949640288,-3.27364688726264,20436.8871286309,-5.405878900675059,30862.2226879381,12.016690647482,,,
ABW,2003,-8.19071310116085,7.90491984521834,,61.1967938087341,8.87588512981904,79.36541923755921,3.6561365393926204,54.437838584853495,55.635323383084604,,,24.7097844112769,,78.55168601437259,,63.101160862354895,,29.2150359314538,,70.86788280818129,1.9755472866014299,20833.7616116694,-0.152950639075172,31387.2829554433,14.461857379767801,,,
ABW,2004,12.1556781148158,-4.74304336926546,,57.2900476309852,3.21575357933246,81.3729003163727,2.5294153273538904,51.6812233642517,52.397292554524896,,,23.163700175482603,,74.7054399598897,,65.0789671596891,,28.779142642266198,,68.5635497618451,7.91156467197911,22569.9749851801,6.03174361973116,34176.4646014807,17.096515417397804,,,
ABW,2005,4.50346715007561,-8.915590376414471,,58.1687440076702,6.191747254189821,84.1381756422133,3.39827548863246,54.165699904122704,54.7401006711409,,,23.130393096836,,75.81495685522529,,68.5522531160115,,33.581016299137104,,77.94822627037391,1.21434883180251,23300.0395575696,-0.0949589566665736,35207.5772430056,-2.04170204831031,,,
ABW,2006,12.8086334507692,9.08677166142101,,57.244239631336406,2.37349596176034,87.1736495895311,3.6077249407281804,53.31274193548389,54.8886866359447,,,22.6497695852535,,77.0967741935484,,65.852534562212,,35.1612903225806,,78.110599078341,1.0506066363106001,24045.272483354704,0.24588167122981,36362.2193169021,13.163305107246401,,,
ABW,2007,9.87609485152745,-18.0111087374493,,54.8258919034394,3.3005957172757996,91.8737218367097,5.39162036843645,51.5460798974578,52.964665669728696,,,21.6620380260628,,78.1456953642384,,66.1610766930143,,32.5144199957274,,76.7998290963469,1.800225853688,25835.132667628397,1.4100094221688402,37865.4934863172,2.41615039521471,,,
ABW,2008,0.00407000407000378,0.687830687830688,,60.8770858770859,16.5640586034913,100.10305419121,8.95722105296535,48.1143467643468,52.4626780626781,,,21.978021978022,,77.24867724867721,,67.70451770451771,,33.2519332519333,,78.18477818477821,-0.09070775351769099,27084.7036903653,-0.22476390838973298,38515.2637965284,13.732193732193698,,,
